sep=;
seed;model_name;dataset_name;grounder;kge;rule_miner;kge_atom_embedding_size;batch_size;val_batch_size;test_batch_size;facts_file;train_file;valid_file;test_file;domain_file;rules_file;num_negatives;valid_negatives;test_negatives;ragged;format;engine_num_negatives;engine_num_adaptive_constants;constant_embedding_size;dropout_rate_embedder;kge_regularization;learning_rate;epochs;num_rules;loss;weight_loss;cdcr_use_positional_embeddings;cdcr_num_formulas;valid_frequency;resnet;reasoner_depth;reasoner_regularization_factor;reasoner_formula_hidden_embedding_size;reasoner_dropout_rate;reasoner_atom_embedding_size;signed;temperature;aggregation_type;filter_num_heads;filter_activity_regularization;keys_signature;run_signature;seed_run_i;time_ground_train;time_ground_valid;time_train;time_ground_test;time_inference;train_loss;train_concept_loss;train_task_loss;train_concept_mrr;train_concept_hits@1@1;train_concept_hits@3@3;train_task_mrr;train_task_hits@1@1;train_task_hits@3@3;val_loss;val_concept_loss;val_task_loss;val_concept_mrr;val_concept_hits@1@1;val_concept_hits@3@3;val_task_mrr;val_task_hits@1@1;val_task_hits@3@3;test_loss;test_concept_loss;test_task_loss;test_concept_mrr;test_concept_hits@1@1;test_concept_hits@3@3;test_task_mrr;test_task_hits@1@1;test_task_hits@3@3;time_train;train_inference;time_ground_train;time_ground_valid;time_ground_test
[0, 1, 2, 3, 4];dcr;countries_s1;backward_1;complex;None;100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;True;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;3;True;1;0.0;100;0.0;100;True;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_1-complex-dcr-None-1-100;4;0.13;0.1;39.44;0.01;0.3;[0.25, 0.22];[0.23, 0.212];[0.232, 0.21];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.331, 0.026];[0.305, 0.021];[0.314, 0.017];[0.869, 0.032];[0.846, 0.033];[0.876, 0.037];[0.903, 0.016];[0.868, 0.023];[0.914, 0.022];[0.308, 0.071];[0.307, 0.058];[0.268, 0.068];[0.907, 0.039];[0.856, 0.071];[0.94, 0.036];[0.992, 0.007];[0.984, 0.015];[1.0, 0.0];[0.126, 0.026];[0.13, 0.019];[39.764, 2.482];[0.022, 0.019]
[0, 1, 2, 3, 4];sbr;countries_s1;backward_1;complex;None;100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;True;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;3;True;1;0.0;100;0.0;100;True;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_1-complex-sbr-None-1-100;4;0.05;0.17;31.05;0.01;0.26;[0.238, 0.267];[0.238, 0.268];[0.238, 0.266];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.35, 0.043];[0.342, 0.038];[0.359, 0.048];[0.857, 0.031];[0.83, 0.034];[0.87, 0.032];[0.887, 0.02];[0.848, 0.026];[0.914, 0.022];[0.342, 0.071];[0.382, 0.094];[0.302, 0.067];[0.899, 0.04];[0.844, 0.073];[0.932, 0.037];[0.969, 0.023];[0.948, 0.037];[1.0, 0.0];[0.12, 0.043];[0.146, 0.026];[30.154, 1.315];[0.018, 0.007]
[0, 1, 2, 3, 4];r2n;countries_s1;backward_1;complex;None;100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;True;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;3;True;1;0.0;100;0.0;100;True;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_1-complex-r2n-None-1-100;4;0.1;0.12;31.05;0.03;0.26;[0.241, 0.218];[0.26, 0.229];[0.221, 0.207];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.342, 0.05];[0.299, 0.05];[0.385, 0.051];[0.805, 0.061];[0.766, 0.077];[0.816, 0.06];[0.907, 0.024];[0.864, 0.037];[0.936, 0.019];[0.343, 0.117];[0.381, 0.105];[0.305, 0.132];[0.897, 0.015];[0.84, 0.022];[0.936, 0.032];[0.96, 0.027];[0.948, 0.035];[0.948, 0.035];[0.104, 0.019];[0.124, 0.03];[32.532, 2.892];[0.02, 0.006]
[0, 1, 2, 3, 4];no_reasoner;countries_s1;backward_1;complex;None;100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;True;functional;0;0;200;0.0;0.0;0.01;100;0;binary_crossentropy;0.5;False;3;3;True;1;0.0;100;0.0;100;True;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_1-complex-no_reasoner-None-1-100;4;0.08;0.09;28.75;0.0;0.26;[0.074, 0.128];[0.074, 0.128];[0.074, 0.128];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.361, 0.037];[0.361, 0.037];[0.361, 0.037];[0.911, 0.009];[0.892, 0.015];[0.92, 0.013];[0.911, 0.009];[0.892, 0.015];[0.92, 0.013];[0.372, 0.062];[0.372, 0.062];[0.372, 0.062];[0.923, 0.014];[0.884, 0.015];[0.944, 0.029];[0.923, 0.014];[0.884, 0.015];[0.944, 0.029];[0.202, 0.234];[0.084, 0.025];[28.96, 0.671];[0.008, 0.01]
[0, 1, 2, 3, 4];dcr;countries_s1;backward_2;complex;None;100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;True;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;3;True;1;0.0;100;0.0;100;True;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_2-complex-dcr-None-1-100;4;0.15;0.18;40.1;0.04;0.25;[0.25, 0.256];[0.222, 0.251];[0.226, 0.247];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.001];[1.0, 0.0];[0.357, 0.029];[0.323, 0.029];[0.336, 0.038];[0.879, 0.024];[0.852, 0.031];[0.896, 0.02];[0.9, 0.02];[0.86, 0.034];[0.928, 0.02];[0.315, 0.072];[0.306, 0.056];[0.269, 0.076];[0.912, 0.02];[0.86, 0.033];[0.952, 0.016];[0.992, 0.01];[0.984, 0.02];[1.0, 0.0];[0.156, 0.014];[0.2, 0.04];[38.912, 1.521];[0.022, 0.01]
[0, 1, 2, 3, 4];sbr;countries_s1;backward_2;complex;None;100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;True;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;3;True;1;0.0;100;0.0;100;True;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_2-complex-sbr-None-1-100;4;0.25;0.24;30.8;0.02;0.3;[0.296, 0.19];[0.297, 0.19];[0.294, 0.191];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.999, 0.001];[1.0, 0.0];[0.308, 0.018];[0.304, 0.021];[0.312, 0.016];[0.85, 0.028];[0.818, 0.037];[0.86, 0.024];[0.885, 0.019];[0.84, 0.025];[0.906, 0.019];[0.301, 0.055];[0.319, 0.047];[0.284, 0.063];[0.917, 0.019];[0.868, 0.03];[0.956, 0.034];[0.991, 0.008];[0.984, 0.015];[1.0, 0.0];[0.18, 0.053];[0.212, 0.057];[30.182, 0.501];[0.026, 0.008]
[0, 1, 2, 3, 4];r2n;countries_s1;backward_2;complex;None;100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;True;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;3;True;1;0.0;100;0.0;100;True;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_2-complex-r2n-None-1-100;4;0.14;2.31;32.85;0.02;0.17;[0.465, 0.109];[0.495, 0.109];[0.436, 0.109];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.999, 0.001];[0.999, 0.002];[1.0, 0.0];[0.343, 0.012];[0.316, 0.018];[0.369, 0.007];[0.797, 0.033];[0.754, 0.047];[0.808, 0.029];[0.886, 0.013];[0.834, 0.019];[0.924, 0.024];[0.32, 0.016];[0.373, 0.023];[0.267, 0.014];[0.878, 0.023];[0.8, 0.04];[0.94, 0.033];[0.975, 0.029];[0.968, 0.037];[0.968, 0.037];[0.144, 0.026];[0.59, 0.861];[32.594, 0.805];[0.024, 0.01]
[0, 1, 2, 3, 4];no_reasoner;countries_s1;backward_2;complex;None;100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;True;functional;0;0;200;0.0;0.0;0.01;100;0;binary_crossentropy;0.5;False;3;3;True;1;0.0;100;0.0;100;True;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_2-complex-no_reasoner-None-1-100;4;0.07;0.07;28.27;0.0;0.26;[0.074, 0.128];[0.074, 0.128];[0.074, 0.128];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.361, 0.037];[0.361, 0.037];[0.361, 0.037];[0.911, 0.009];[0.892, 0.015];[0.92, 0.013];[0.911, 0.009];[0.892, 0.015];[0.92, 0.013];[0.372, 0.062];[0.372, 0.062];[0.372, 0.062];[0.923, 0.014];[0.884, 0.015];[0.944, 0.029];[0.923, 0.014];[0.884, 0.015];[0.944, 0.029];[0.078, 0.017];[0.074, 0.014];[28.502, 0.353];[0.004, 0.005]
[0, 1, 2, 3, 4];dcr;countries_s1;backward_3;complex;None;100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;True;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;3;True;1;0.0;100;0.0;100;True;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_3-complex-dcr-None-1-100;4;2.81;0.19;40.18;0.03;0.21;[0.25, 0.256];[0.222, 0.251];[0.226, 0.247];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.001];[1.0, 0.0];[0.357, 0.029];[0.323, 0.029];[0.336, 0.038];[0.879, 0.024];[0.852, 0.031];[0.896, 0.02];[0.9, 0.02];[0.86, 0.034];[0.928, 0.02];[0.315, 0.072];[0.306, 0.056];[0.269, 0.076];[0.912, 0.02];[0.86, 0.033];[0.952, 0.016];[0.992, 0.01];[0.984, 0.02];[1.0, 0.0];[1.254, 1.291];[0.204, 0.036];[38.448, 1.458];[0.034, 0.008]
[0, 1, 2, 3, 4];sbr;countries_s1;backward_3;complex;None;100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;True;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;3;True;1;0.0;100;0.0;100;True;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_3-complex-sbr-None-1-100;4;0.19;0.18;33.61;0.03;0.22;[0.296, 0.19];[0.297, 0.19];[0.294, 0.191];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.999, 0.001];[1.0, 0.0];[0.308, 0.018];[0.304, 0.021];[0.312, 0.016];[0.85, 0.028];[0.818, 0.037];[0.86, 0.024];[0.885, 0.019];[0.84, 0.025];[0.906, 0.019];[0.301, 0.055];[0.319, 0.047];[0.284, 0.063];[0.917, 0.019];[0.868, 0.03];[0.956, 0.034];[0.991, 0.008];[0.984, 0.015];[1.0, 0.0];[0.176, 0.016];[0.23, 0.038];[30.39, 1.647];[0.032, 0.01]
