dataset_name;grounder;kge;model_name;rule_miner;seed;kge_atom_embedding_size;batch_size;val_batch_size;test_batch_size;facts_file;train_file;valid_file;test_file;domain_file;rules_file;num_negatives;valid_negatives;test_negatives;ragged;format;engine_num_negatives;engine_num_adaptive_constants;constant_embedding_size;dropout_rate_embedder;kge_regularization;learning_rate;epochs;num_rules;loss;weight_loss;cdcr_use_positional_embeddings;cdcr_num_formulas;valid_frequency;resnet;reasoner_depth;reasoner_regularization_factor;reasoner_formula_hidden_embedding_size;reasoner_dropout_rate;reasoner_atom_embedding_size;signed;temperature;aggregation_type;filter_num_heads;filter_activity_regularization;keys_signature;run_signature;seed_run_i;train_loss;train_concept_loss;train_task_loss;train_concept_mrr;train_concept_hits@1@1;train_concept_hits@3@3;train_task_mrr;train_task_hits@1@1;train_task_hits@3@3;val_loss;val_concept_loss;val_task_loss;val_concept_mrr;val_concept_hits@1@1;val_concept_hits@3@3;val_task_mrr;val_task_hits@1@1;val_task_hits@3@3;test_loss;test_concept_loss;test_task_loss;test_concept_mrr;test_concept_hits@1@1;test_concept_hits@3@3;test_task_mrr;test_task_hits@1@1;test_task_hits@3@3;time_ground_train;time_ground_valid;time_train;time_ground_test;time_inference
kinship_family;backward_2;complex;no_reasoner;amie;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules_amie.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;0;binary_crossentropy;0.5;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];kinship_family-backward_2-complex-no_reasoner-amie-1-100;4;[0.174, 0.004];[0.174, 0.004];[0.174, 0.004];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.364, 0.0];[0.364, 0.0];[0.364, 0.0];[0.71, 0.012];[0.662, 0.012];[0.726, 0.013];[0.71, 0.012];[0.662, 0.012];[0.726, 0.013];[0.363, 0.001];[0.363, 0.001];[0.363, 0.001];[0.584, 0.008];[0.557, 0.006];[0.592, 0.009];[0.584, 0.008];[0.557, 0.006];[0.592, 0.009];[0.714, 0.029];[2.922, 0.123];[46.668, 0.158];[0.0, 0.0];[208.178, 10.427]
pharmkg_small;backward_3;complex;no_reasoner;amie;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules_amie.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;0;binary_crossentropy;0.5;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];pharmkg_small-backward_3-complex-no_reasoner-amie-1-100;4;[0.356, 0.028];[0.356, 0.028];[0.356, 0.028];[0.957, 0.003];[0.917, 0.006];[1.0, 0.0];[0.957, 0.003];[0.917, 0.006];[1.0, 0.0];[0.233, 0.023];[0.233, 0.023];[0.233, 0.023];[0.612, 0.004];[0.562, 0.003];[0.604, 0.007];[0.612, 0.004];[0.562, 0.003];[0.604, 0.007];[0.177, 0.016];[0.177, 0.016];[0.177, 0.016];[0.615, 0.004];[0.555, 0.005];[0.618, 0.003];[0.615, 0.004];[0.555, 0.005];[0.618, 0.003];[0.65, 0.023];[1.492, 0.085];[59.864, 0.585];[0.0, 0.0];[2.122, 0.07]
pharmkg_small;domainbody;complex;sbr;amie;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules_amie.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];pharmkg_small-domainbody-complex-sbr-amie-1-100;4;[0.425, 0.07];[0.393, 0.063];[0.457, 0.076];[0.949, 0.007];[0.901, 0.013];[1.0, 0.0];[0.947, 0.007];[0.896, 0.014];[1.0, 0.0];[0.236, 0.063];[0.211, 0.059];[0.26, 0.067];[0.638, 0.005];[0.588, 0.004];[0.633, 0.007];[0.644, 0.004];[0.592, 0.004];[0.64, 0.006];[0.177, 0.048];[0.161, 0.045];[0.194, 0.051];[0.629, 0.005];[0.566, 0.005];[0.633, 0.007];[0.632, 0.008];[0.568, 0.008];[0.638, 0.008];[882.54, 223.248];[1804.89, 294.945];[2987.492, 485.818];[0.0, 0.0];[1775.162, 12.252]
pharmkg_small;domainbody;complex;no_reasoner;amie;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules_amie.txt;1;100;None;TRUE;functional;0;0;200;0.0;0.0;0.01;100;0;binary_crossentropy;0.5;FALSE;3;3;TRUE;1;0.0;100;0.0;100;TRUE;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];pharmkg_small-domainbody-complex-no_reasoner-amie-1-100;4;[0.366, 0.03];[0.366, 0.03];[0.366, 0.03];[0.958, 0.002];[0.918, 0.005];[1.0, 0.0];[0.958, 0.002];[0.918, 0.005];[1.0, 0.0];[0.253, 0.022];[0.253, 0.022];[0.253, 0.022];[0.608, 0.002];[0.559, 0.002];[0.599, 0.003];[0.608, 0.002];[0.559, 0.002];[0.599, 0.003];[0.191, 0.018];[0.191, 0.018];[0.191, 0.018];[0.612, 0.002];[0.552, 0.004];[0.613, 0.004];[0.612, 0.002];[0.552, 0.004];[0.613, 0.004];[0.75, 0.076];[1.504, 0.033];[69.338, 0.792];[0.0, 0.0];[2.058, 0.492]

countries_s1;backward_1;complex;dcr;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;True;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;3;True;1;0.0;100;0.0;100;True;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_1-complex-dcr-None-1-100;4;[0.25, 0.22];[0.23, 0.212];[0.232, 0.21];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.331, 0.026];[0.305, 0.021];[0.314, 0.017];[0.869, 0.032];[0.846, 0.033];[0.876, 0.037];[0.903, 0.016];[0.868, 0.023];[0.914, 0.022];[0.308, 0.071];[0.307, 0.058];[0.268, 0.068];[0.907, 0.039];[0.856, 0.071];[0.94, 0.036];[0.992, 0.007];[0.984, 0.015];[1.0, 0.0];[0.126, 0.026];[0.13, 0.019];[39.764, 2.482];[0.022, 0.019];[0.256, 0.059]
countries_s1;backward_1;complex;sbr;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;True;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;3;True;1;0.0;100;0.0;100;True;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_1-complex-sbr-None-1-100;4;[0.238, 0.267];[0.238, 0.268];[0.238, 0.266];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.35, 0.043];[0.342, 0.038];[0.359, 0.048];[0.857, 0.031];[0.83, 0.034];[0.87, 0.032];[0.887, 0.02];[0.848, 0.026];[0.914, 0.022];[0.342, 0.071];[0.382, 0.094];[0.302, 0.067];[0.899, 0.04];[0.844, 0.073];[0.932, 0.037];[0.969, 0.023];[0.948, 0.037];[1.0, 0.0];[0.12, 0.043];[0.146, 0.026];[30.154, 1.315];[0.018, 0.007];[0.246, 0.016]
countries_s1;backward_1;complex;r2n;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;True;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;3;True;1;0.0;100;0.0;100;True;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_1-complex-r2n-None-1-100;4;[0.241, 0.218];[0.26, 0.229];[0.221, 0.207];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.342, 0.05];[0.299, 0.05];[0.385, 0.051];[0.805, 0.061];[0.766, 0.077];[0.816, 0.06];[0.907, 0.024];[0.864, 0.037];[0.936, 0.019];[0.343, 0.117];[0.381, 0.105];[0.305, 0.132];[0.897, 0.015];[0.84, 0.022];[0.936, 0.032];[0.96, 0.027];[0.948, 0.035];[0.948, 0.035];[0.104, 0.019];[0.124, 0.03];[32.532, 2.892];[0.02, 0.006];[0.24, 0.035]
countries_s1;backward_1;complex;no_reasoner;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;True;functional;0;0;200;0.0;0.0;0.01;100;0;binary_crossentropy;0.5;False;3;3;True;1;0.0;100;0.0;100;True;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_1-complex-no_reasoner-None-1-100;4;[0.074, 0.128];[0.074, 0.128];[0.074, 0.128];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.361, 0.037];[0.361, 0.037];[0.361, 0.037];[0.911, 0.009];[0.892, 0.015];[0.92, 0.013];[0.911, 0.009];[0.892, 0.015];[0.92, 0.013];[0.372, 0.062];[0.372, 0.062];[0.372, 0.062];[0.923, 0.014];[0.884, 0.015];[0.944, 0.029];[0.923, 0.014];[0.884, 0.015];[0.944, 0.029];[0.202, 0.234];[0.084, 0.025];[28.96, 0.671];[0.008, 0.01];[0.204, 0.038]
countries_s1;backward_2;complex;dcr;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;True;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;3;True;1;0.0;100;0.0;100;True;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_2-complex-dcr-None-1-100;4;[0.25, 0.256];[0.222, 0.251];[0.226, 0.247];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.001];[1.0, 0.0];[0.357, 0.029];[0.323, 0.029];[0.336, 0.038];[0.879, 0.024];[0.852, 0.031];[0.896, 0.02];[0.9, 0.02];[0.86, 0.034];[0.928, 0.02];[0.315, 0.072];[0.306, 0.056];[0.269, 0.076];[0.912, 0.02];[0.86, 0.033];[0.952, 0.016];[0.992, 0.01];[0.984, 0.02];[1.0, 0.0];[0.156, 0.014];[0.2, 0.04];[38.912, 1.521];[0.022, 0.01];[0.254, 0.026]
countries_s1;backward_2;complex;sbr;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;True;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;3;True;1;0.0;100;0.0;100;True;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_2-complex-sbr-None-1-100;4;[0.296, 0.19];[0.297, 0.19];[0.294, 0.191];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.999, 0.001];[1.0, 0.0];[0.308, 0.018];[0.304, 0.021];[0.312, 0.016];[0.85, 0.028];[0.818, 0.037];[0.86, 0.024];[0.885, 0.019];[0.84, 0.025];[0.906, 0.019];[0.301, 0.055];[0.319, 0.047];[0.284, 0.063];[0.917, 0.019];[0.868, 0.03];[0.956, 0.034];[0.991, 0.008];[0.984, 0.015];[1.0, 0.0];[0.18, 0.053];[0.212, 0.057];[30.182, 0.501];[0.026, 0.008];[0.246, 0.04]
countries_s1;backward_2;complex;r2n;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;True;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;3;True;1;0.0;100;0.0;100;True;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_2-complex-r2n-None-1-100;4;[0.465, 0.109];[0.495, 0.109];[0.436, 0.109];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.999, 0.001];[0.999, 0.002];[1.0, 0.0];[0.343, 0.012];[0.316, 0.018];[0.369, 0.007];[0.797, 0.033];[0.754, 0.047];[0.808, 0.029];[0.886, 0.013];[0.834, 0.019];[0.924, 0.024];[0.32, 0.016];[0.373, 0.023];[0.267, 0.014];[0.878, 0.023];[0.8, 0.04];[0.94, 0.033];[0.975, 0.029];[0.968, 0.037];[0.968, 0.037];[0.144, 0.026];[0.59, 0.861];[32.594, 0.805];[0.024, 0.01];[0.246, 0.061]
countries_s1;backward_2;complex;no_reasoner;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;True;functional;0;0;200;0.0;0.0;0.01;100;0;binary_crossentropy;0.5;False;3;3;True;1;0.0;100;0.0;100;True;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_2-complex-no_reasoner-None-1-100;4;[0.074, 0.128];[0.074, 0.128];[0.074, 0.128];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.361, 0.037];[0.361, 0.037];[0.361, 0.037];[0.911, 0.009];[0.892, 0.015];[0.92, 0.013];[0.911, 0.009];[0.892, 0.015];[0.92, 0.013];[0.372, 0.062];[0.372, 0.062];[0.372, 0.062];[0.923, 0.014];[0.884, 0.015];[0.944, 0.029];[0.923, 0.014];[0.884, 0.015];[0.944, 0.029];[0.078, 0.017];[0.074, 0.014];[28.502, 0.353];[0.004, 0.005];[0.24, 0.028]
countries_s1;backward_3;complex;dcr;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;True;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;3;True;1;0.0;100;0.0;100;True;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_3-complex-dcr-None-1-100;4;[0.25, 0.256];[0.222, 0.251];[0.226, 0.247];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.001];[1.0, 0.0];[0.357, 0.029];[0.323, 0.029];[0.336, 0.038];[0.879, 0.024];[0.852, 0.031];[0.896, 0.02];[0.9, 0.02];[0.86, 0.034];[0.928, 0.02];[0.315, 0.072];[0.306, 0.056];[0.269, 0.076];[0.912, 0.02];[0.86, 0.033];[0.952, 0.016];[0.992, 0.01];[0.984, 0.02];[1.0, 0.0];[1.254, 1.291];[0.204, 0.036];[38.448, 1.458];[0.034, 0.008];[0.248, 0.035]
countries_s1;backward_3;complex;sbr;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;True;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;3;True;1;0.0;100;0.0;100;True;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_3-complex-sbr-None-1-100;4;[0.296, 0.19];[0.297, 0.19];[0.294, 0.191];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.999, 0.001];[1.0, 0.0];[0.308, 0.018];[0.304, 0.021];[0.312, 0.016];[0.85, 0.028];[0.818, 0.037];[0.86, 0.024];[0.885, 0.019];[0.84, 0.025];[0.906, 0.019];[0.301, 0.055];[0.319, 0.047];[0.284, 0.063];[0.917, 0.019];[0.868, 0.03];[0.956, 0.034];[0.991, 0.008];[0.984, 0.015];[1.0, 0.0];[0.176, 0.016];[0.23, 0.038];[30.39, 1.647];[0.032, 0.01];[0.244, 0.026]
countries_s1;backward_3;complex;r2n;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;True;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;3;True;1;0.0;100;0.0;100;True;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_3-complex-r2n-None-1-100;4;[0.465, 0.109];[0.495, 0.109];[0.436, 0.109];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.999, 0.001];[0.999, 0.002];[1.0, 0.0];[0.343, 0.012];[0.316, 0.018];[0.369, 0.007];[0.797, 0.033];[0.754, 0.047];[0.808, 0.029];[0.886, 0.013];[0.834, 0.019];[0.924, 0.024];[0.32, 0.016];[0.373, 0.023];[0.267, 0.014];[0.878, 0.023];[0.8, 0.04];[0.94, 0.033];[0.975, 0.029];[0.968, 0.037];[0.968, 0.037];[0.156, 0.024];[0.206, 0.039];[31.094, 0.469];[0.042, 0.019];[0.292, 0.044]
countries_s1;backward_3;complex;no_reasoner;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;True;functional;0;0;200;0.0;0.0;0.01;100;0;binary_crossentropy;0.5;False;3;3;True;1;0.0;100;0.0;100;True;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_3-complex-no_reasoner-None-1-100;4;[0.074, 0.128];[0.074, 0.128];[0.074, 0.128];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.361, 0.037];[0.361, 0.037];[0.361, 0.037];[0.911, 0.009];[0.892, 0.015];[0.92, 0.013];[0.911, 0.009];[0.892, 0.015];[0.92, 0.013];[0.372, 0.062];[0.372, 0.062];[0.372, 0.062];[0.923, 0.014];[0.884, 0.015];[0.944, 0.029];[0.923, 0.014];[0.884, 0.015];[0.944, 0.029];[0.074, 0.021];[0.08, 0.021];[28.696, 1.489];[0.01, 0.009];[0.228, 0.047]
countries_s1;domainbody;complex;dcr;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;True;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;3;True;1;0.0;100;0.0;100;True;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-domainbody-complex-dcr-None-1-100;4;[0.184, 0.134];[0.124, 0.142];[0.169, 0.131];[1.0, 0.0];[1.0, 0.001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.001];[1.0, 0.0];[0.422, 0.055];[0.351, 0.04];[0.417, 0.065];[0.912, 0.004];[0.892, 0.007];[0.922, 0.012];[0.914, 0.006];[0.892, 0.007];[0.93, 0.014];[0.384, 0.033];[0.316, 0.042];[0.376, 0.024];[0.927, 0.013];[0.884, 0.023];[0.952, 0.016];[0.933, 0.008];[0.892, 0.02];[0.956, 0.023];[0.324, 0.084];[1.61, 1.725];[51.312, 1.228];[0.086, 0.021];[0.32, 0.041]
countries_s1;domainbody;complex;sbr;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;True;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;3;True;1;0.0;100;0.0;100;True;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-domainbody-complex-sbr-None-1-100;4;[0.022, 0.005];[0.017, 0.005];[0.028, 0.005];[1.0, 0.0];[1.0, 0.001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.001];[1.0, 0.0];[0.328, 0.015];[0.308, 0.007];[0.349, 0.024];[0.912, 0.008];[0.896, 0.014];[0.922, 0.004];[0.912, 0.007];[0.894, 0.014];[0.92, 0.009];[0.329, 0.05];[0.333, 0.055];[0.325, 0.046];[0.927, 0.019];[0.892, 0.024];[0.936, 0.027];[0.934, 0.016];[0.9, 0.022];[0.948, 0.027];[0.34, 0.067];[1.634, 1.834];[33.184, 1.675];[0.09, 0.026];[0.314, 0.038]
countries_s1;domainbody;complex;r2n;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;True;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;3;True;1;0.0;100;0.0;100;True;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-domainbody-complex-r2n-None-1-100;4;[0.126, 0.24];[0.126, 0.24];[0.126, 0.24];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.372, 0.031];[0.372, 0.031];[0.372, 0.031];[0.911, 0.01];[0.892, 0.015];[0.924, 0.005];[0.911, 0.01];[0.892, 0.015];[0.924, 0.005];[0.403, 0.076];[0.403, 0.076];[0.403, 0.076];[0.925, 0.01];[0.888, 0.016];[0.944, 0.029];[0.925, 0.01];[0.888, 0.016];[0.944, 0.029];[0.338, 0.038];[1.744, 1.949];[44.686, 2.381];[0.088, 0.036];[0.306, 0.044]
countries_s1;domainbody;complex;no_reasoner;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;True;functional;0;0;200;0.0;0.0;0.01;100;0;binary_crossentropy;0.5;False;3;3;True;1;0.0;100;0.0;100;True;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-domainbody-complex-no_reasoner-None-1-100;4;[0.074, 0.128];[0.074, 0.128];[0.074, 0.128];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.361, 0.037];[0.361, 0.037];[0.361, 0.037];[0.911, 0.009];[0.892, 0.015];[0.92, 0.013];[0.911, 0.009];[0.892, 0.015];[0.92, 0.013];[0.372, 0.062];[0.372, 0.062];[0.372, 0.062];[0.923, 0.014];[0.884, 0.015];[0.944, 0.029];[0.923, 0.014];[0.884, 0.015];[0.944, 0.029];[0.06, 0.015];[0.08, 0.026];[27.808, 0.902];[0.006, 0.005];[0.198, 0.016]
countries_s1;full;complex;dcr;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;True;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;3;True;1;0.0;100;0.0;100;True;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-full-complex-dcr-None-1-100;4;[0.178, 0.2];[0.117, 0.21];[0.162, 0.193];[1.0, 0.0];[0.999, 0.001];[1.0, 0.0];[1.0, 0.0];[0.999, 0.001];[1.0, 0.0];[0.436, 0.037];[0.364, 0.025];[0.43, 0.047];[0.911, 0.004];[0.892, 0.004];[0.92, 0.009];[0.915, 0.006];[0.894, 0.005];[0.928, 0.013];[0.409, 0.054];[0.347, 0.073];[0.396, 0.037];[0.93, 0.015];[0.892, 0.02];[0.948, 0.02];[0.938, 0.01];[0.904, 0.015];[0.956, 0.023];[0.706, 0.131];[0.626, 0.062];[59.938, 2.534];[0.642, 0.057];[0.952, 0.111]
countries_s1;full;complex;sbr;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;True;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;3;True;1;0.0;100;0.0;100;True;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-full-complex-sbr-None-1-100;4;[0.022, 0.005];[0.017, 0.005];[0.028, 0.005];[1.0, 0.0];[1.0, 0.001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.001];[1.0, 0.0];[0.328, 0.015];[0.308, 0.007];[0.349, 0.024];[0.912, 0.008];[0.896, 0.014];[0.922, 0.004];[0.912, 0.007];[0.894, 0.014];[0.92, 0.009];[0.329, 0.05];[0.333, 0.055];[0.325, 0.046];[0.927, 0.019];[0.892, 0.024];[0.936, 0.027];[0.934, 0.016];[0.9, 0.022];[0.948, 0.027];[0.642, 0.041];[1.752, 2.086];[36.1, 2.337];[0.61, 0.063];[0.854, 0.034]
countries_s1;full;complex;r2n;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;True;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;3;True;1;0.0;100;0.0;100;True;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-full-complex-r2n-None-1-100;4;[0.013, 0.017];[0.013, 0.017];[0.013, 0.017];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.379, 0.049];[0.379, 0.049];[0.379, 0.049];[0.91, 0.011];[0.89, 0.013];[0.922, 0.015];[0.91, 0.011];[0.89, 0.013];[0.922, 0.015];[0.397, 0.117];[0.397, 0.117];[0.397, 0.117];[0.922, 0.012];[0.884, 0.015];[0.944, 0.029];[0.922, 0.012];[0.884, 0.015];[0.944, 0.029];[0.632, 0.069];[0.634, 0.075];[54.27, 1.429];[1.84, 2.535];[2.102, 2.54]
countries_s1;full;complex;no_reasoner;None;[0, 1, 2, 3, 4];100;-1;-1;256;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;True;functional;0;0;200;0.0;0.0;0.01;100;0;binary_crossentropy;0.5;False;3;3;True;1;0.0;100;0.0;100;True;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-full-complex-no_reasoner-None-1-100;4;[0.074, 0.128];[0.074, 0.128];[0.074, 0.128];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.361, 0.037];[0.361, 0.037];[0.361, 0.037];[0.911, 0.009];[0.892, 0.015];[0.92, 0.013];[0.911, 0.009];[0.892, 0.015];[0.92, 0.013];[0.372, 0.062];[0.372, 0.062];[0.372, 0.062];[0.923, 0.014];[0.884, 0.015];[0.944, 0.029];[0.923, 0.014];[0.884, 0.015];[0.944, 0.029];[0.064, 0.022];[0.068, 0.015];[28.686, 2.427];[0.008, 0.004];[0.234, 0.037]
