Task;Grounder;KGE;EmbedSize;WeightLoss_Task;Reasoner_depth;Model_name;Time;train_loss;train_concept_loss;train_task_loss;train_concept_mrr;train_concept_hits@1@1;train_concept_hits@3@3;train_concept_hits@5@5;train_concept_hits@10@10;train_task_mrr;train_task_hits@1@1;train_task_hits@3@3;train_task_hits@5@5;train_task_hits@10@10;val_loss;val_concept_loss;val_task_loss;val_concept_mrr;val_concept_hits@1@1;val_concept_hits@3@3;val_concept_hits@5@5;val_concept_hits@10@10;val_task_mrr;val_task_hits@1@1;val_task_hits@3@3;val_task_hits@5@5;val_task_hits@10@10;test_loss;test_concept_loss;test_task_loss;test_concept_mrr;test_concept_hits@1@1;test_concept_hits@3@3;test_concept_hits@5@5;test_concept_hits@10@10;test_task_mrr;test_task_hits@1@1;test_task_hits@3@3;test_task_hits@5@5;test_task_hits@10@10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_S1_p;backward;complex;10;0.5;1;dcr;[24.316912984848024, 2.2265249079579577];[0.0452, 0.0032];[0.039, 0.0026];[0.042, 0.0036];[0.9995, 0.0005];[0.9991, 0.001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.9995, 0.0005];[0.9991, 0.001];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.4891, 0.0428];[0.4825, 0.0432];[0.4864, 0.0426];[0.8233, 0.0338];[0.726, 0.05];[0.9, 0.031];[0.966, 0.015];[0.996, 0.0049];[0.8226, 0.0337];[0.726, 0.05];[0.9, 0.031];[0.966, 0.015];[0.996, 0.0049];[0.4675, 0.0789];[0.4625, 0.0791];[0.4632, 0.0789];[0.8559, 0.0274];[0.756, 0.0463];[0.944, 0.0265];[1.0, 0.0];[1.0, 0.0];[0.8537, 0.0271];[0.756, 0.0463];[0.936, 0.0196];[1.0, 0.0];[1.0, 0.0]
train_S1_p;backward;complex;10;0.5;1;r2n;[22.859582471847535, 1.185834342197517];[0.0383, 0.0025];[0.0414, 0.0034];[0.0353, 0.0015];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.516, 0.0453];[0.443, 0.0371];[0.5889, 0.0555];[0.8168, 0.0405];[0.72, 0.0603];[0.898, 0.0293];[0.956, 0.0136];[0.998, 0.004];[0.8258, 0.0406];[0.73, 0.0654];[0.914, 0.015];[0.958, 0.0172];[0.998, 0.004];[0.5457, 0.0724];[0.4461, 0.0884];[0.6453, 0.0689];[0.8587, 0.0363];[0.768, 0.0652];[0.94, 0.0126];[1.0, 0.0];[1.0, 0.0];[0.8672, 0.0189];[0.78, 0.031];[0.944, 0.015];[1.0, 0.0];[1.0, 0.0]
train_S1_p;backward;complex;10;0.5;1;sbr;[20.560010480880738, 0.2606667399356667];[0.061, 0.0031];[0.0541, 0.0025];[0.0679, 0.0039];[0.9981, 0.0013];[0.9962, 0.0026];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.9979, 0.0013];[0.9959, 0.0026];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.4093, 0.0496];[0.3995, 0.05];[0.4191, 0.0495];[0.8366, 0.0212];[0.748, 0.0325];[0.912, 0.0147];[0.962, 0.0147];[1.0, 0.0];[0.8377, 0.0209];[0.75, 0.031];[0.91, 0.0167];[0.964, 0.0136];[1.0, 0.0];[0.4075, 0.0823];[0.4102, 0.0902];[0.4047, 0.0744];[0.8717, 0.027];[0.784, 0.0388];[0.956, 0.0233];[1.0, 0.0];[1.0, 0.0];[0.8727, 0.0305];[0.788, 0.0466];[0.956, 0.0294];[1.0, 0.0];[1.0, 0.0]
train_S1_p;backward;complex;10;0.5;1;rnm;[20.96627869606018, 0.5287346763929159];[0.0437, 0.0026];[0.0376, 0.0024];[0.0498, 0.0028];[0.9999, 0.0002];[0.9998, 0.0004];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.9999, 0.0002];[0.9998, 0.0004];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.4604, 0.0266];[0.4574, 0.0278];[0.4634, 0.0255];[0.8283, 0.0281];[0.734, 0.0413];[0.898, 0.0293];[0.968, 0.0117];[0.996, 0.0049];[0.8291, 0.0271];[0.734, 0.0413];[0.9, 0.0261];[0.966, 0.015];[1.0, 0.0];[0.4128, 0.0745];[0.4213, 0.0817];[0.4044, 0.0675];[0.8663, 0.0294];[0.784, 0.048];[0.936, 0.0344];[1.0, 0.0];[1.0, 0.0];[0.8676, 0.0297];[0.784, 0.048];[0.944, 0.0445];[1.0, 0.0];[1.0, 0.0]
train_S1_p;backward;complex;10;0.5;3;dcr;[30.950878190994263, 0.505242067092516];[0.0492, 0.0028];[0.0383, 0.0028];[0.0378, 0.0027];[0.9999, 0.0002];[0.9998, 0.0004];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.5053, 0.0437];[0.4798, 0.0505];[0.5084, 0.0438];[0.8257, 0.0362];[0.73, 0.058];[0.898, 0.0214];[0.968, 0.016];[0.996, 0.0049];[0.8194, 0.035];[0.724, 0.055];[0.896, 0.0332];[0.968, 0.0204];[0.998, 0.004];[0.4907, 0.0835];[0.4688, 0.0798];[0.4903, 0.0887];[0.8518, 0.0313];[0.756, 0.0557];[0.94, 0.0253];[1.0, 0.0];[1.0, 0.0];[0.8548, 0.0297];[0.764, 0.0528];[0.936, 0.0233];[1.0, 0.0];[1.0, 0.0]
train_S1_p;backward;complex;10;0.5;3;r2n;[26.261684370040893, 0.38191741658086165];[0.0368, 0.0023];[0.0376, 0.0029];[0.036, 0.0018];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.4554, 0.034];[0.4558, 0.0343];[0.4549, 0.0337];[0.8236, 0.0245];[0.726, 0.0344];[0.912, 0.0172];[0.964, 0.0196];[0.996, 0.0049];[0.8459, 0.0141];[0.756, 0.0196];[0.934, 0.0136];[0.968, 0.0204];[0.996, 0.0049];[0.4622, 0.0952];[0.4634, 0.0959];[0.4611, 0.0945];[0.8602, 0.0301];[0.776, 0.0512];[0.932, 0.0325];[1.0, 0.0];[1.0, 0.0];[0.8602, 0.0301];[0.776, 0.0512];[0.932, 0.0325];[1.0, 0.0];[1.0, 0.0]
train_S1_p;backward;complex;10;0.5;3;sbr;[22.519335985183716, 0.19503704174522124];[0.0359, 0.002];[0.0359, 0.002];[0.0359, 0.002];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.4882, 0.0379];[0.4882, 0.0379];[0.4882, 0.0379];[0.8222, 0.0234];[0.728, 0.0337];[0.89, 0.0276];[0.964, 0.0102];[0.996, 0.0049];[0.8222, 0.0234];[0.728, 0.0337];[0.89, 0.0276];[0.964, 0.0102];[0.996, 0.0049];[0.4519, 0.0877];[0.4519, 0.0877];[0.4519, 0.0877];[0.868, 0.0329];[0.792, 0.0601];[0.924, 0.0388];[1.0, 0.0];[1.0, 0.0];[0.868, 0.0329];[0.792, 0.0601];[0.924, 0.0388];[1.0, 0.0];[1.0, 0.0]
train_S1_p;backward;complex;10;0.5;3;rnm;[23.012992715835573, 0.6394520259847079];[0.0359, 0.002];[0.0359, 0.002];[0.0359, 0.002];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.4882, 0.0379];[0.4882, 0.0379];[0.4882, 0.0379];[0.8222, 0.0234];[0.728, 0.0337];[0.89, 0.0276];[0.964, 0.0102];[0.996, 0.0049];[0.8222, 0.0234];[0.728, 0.0337];[0.89, 0.0276];[0.964, 0.0102];[0.996, 0.0049];[0.4519, 0.0877];[0.4519, 0.0877];[0.4519, 0.0877];[0.868, 0.0329];[0.792, 0.0601];[0.924, 0.0388];[1.0, 0.0];[1.0, 0.0];[0.868, 0.0329];[0.792, 0.0601];[0.924, 0.0388];[1.0, 0.0];[1.0, 0.0]
train_S1_p;backward;complex;100;0.5;1;dcr;[31.634478998184203, 0.772258565416321];[0.0163, 0.0002];[0.0119, 0.0001];[0.0133, 0.0002];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.3808, 0.0334];[0.3787, 0.0335];[0.3754, 0.0333];[0.9293, 0.0127];[0.89, 0.0268];[0.962, 0.0117];[0.964, 0.0102];[0.988, 0.0075];[0.9293, 0.0125];[0.89, 0.0268];[0.962, 0.0117];[0.966, 0.012];[0.984, 0.012];[0.3976, 0.09];[0.4054, 0.0984];[0.3824, 0.0816];[0.9157, 0.0159];[0.872, 0.0204];[0.94, 0.0253];[1.0, 0.0];[1.0, 0.0];[0.9155, 0.0158];[0.872, 0.0204];[0.94, 0.0253];[1.0, 0.0];[1.0, 0.0]
train_S1_p;backward;complex;100;0.5;1;r2n;[31.458883571624757, 0.9604962850345625];[0.0131, 0.0001];[0.0119, 0.0001];[0.0142, 0.0002];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.3644, 0.0386];[0.3642, 0.0384];[0.3647, 0.0389];[0.9361, 0.0091];[0.902, 0.0223];[0.964, 0.0102];[0.97, 0.0141];[0.988, 0.0075];[0.935, 0.0103];[0.9, 0.0261];[0.964, 0.0102];[0.97, 0.0141];[0.994, 0.0049];[0.3908, 0.0983];[0.3951, 0.1018];[0.3864, 0.095];[0.9119, 0.0134];[0.864, 0.015];[0.94, 0.0253];[1.0, 0.0];[1.0, 0.0];[0.9119, 0.0127];[0.864, 0.015];[0.94, 0.0253];[1.0, 0.0];[1.0, 0.0]
